system:index,Landcover_Class,B2,B3,B4,B5,B6,B7,B1
28786_0,12,507,767,872,2014,2699,1840,387
28787_0,17,496,1038,999,2471,1972,1270,387
28789_0,17,406,542,653,1402,1900,1313,336
28791_0,11,446,671,602,2178,2493,1585,408
28793_0,12,979,1253,1434,2813,2894,2226,699
28799_0,4,430,720,743,2011,1844,1280,294
28801_0,17,475,554,652,1007,1672,1478,422
28802_0,0,465,511,239,43,16,13,385
28803_0,19,325,390,468,870,1768,1229,290
28807_0,4,1023,1432,1533,2664,2249,1471,929
28809_0,0,484,466,158,41,29,16,404
28810_0,2,496,747,904,1505,2020,1627,424
28812_0,19,334,416,419,997,1112,720,285
28814_0,0,270,256,114,59,37,24,265
28815_0,11,210,324,261,2149,1155,548,183
28817_0,0,569,580,247,49,17,10,454
28818_0,9,280,599,429,2824,2135,1152,210
28819_0,12,322,660,727,2056,2458,1438,208
28821_0,2,344,701,496,3971,2435,1340,308
28822_0,19,314,472,530,2020,1933,1149,267
28823_0,4,466,585,651,1129,936,682,378
28824_0,2,331,581,617,2161,1266,809,278
28825_0,11,260,549,551,2484,2436,1366,170
28826_0,12,250,609,446,3034,2114,1112,175
28827_0,0,216,177,76,43,22,17,229
28828_0,17,503,778,711,2371,1931,1301,446
28831_0,17,470,611,591,1886,1795,1426,399
28832_0,8,183,302,243,2079,1018,479,162
28833_0,3,476,682,721,1847,1258,978,408
28834_0,17,310,568,476,2760,1824,954,255
28836_0,0,495,421,150,45,22,15,411
28838_0,4,1185,1606,1879,2244,2668,2454,1014
28840_0,0,257,246,112,62,38,27,266
28842_0,19,360,438,482,870,901,590,324
28843_0,17,385,527,670,988,1287,1068,325
28844_0,19,415,557,548,1506,1946,1292,380
28848_0,12,752,1089,1270,3168,3723,2463,621
28849_0,17,222,396,327,2057,1345,676,207
28850_0,9,197,358,327,1985,1508,831,142
28852_0,0,450,566,345,62,18,10,357
28853_0,4,503,816,930,1738,1477,1152,336
28855_0,8,97,193,117,1148,529,257,71
28856_0,17,213,372,358,2363,1296,749,149
28858_0,8,172,264,172,1509,648,287,146
28859_0,12,1924,2502,2745,3105,3203,1951,1717
28861_0,2,77,270,196,2069,893,432,-2
28865_0,17,465,569,663,1273,1875,1585,423
28873_0,11,222,371,404,1490,1561,952,137
