system:index,Landcover_Class,B2,B3,B4,B5,B6,B7,B1
4025_0,5,946,1158,1207,1435,1764,1432,791
4026_0,0,114,151,74,46,32,21,78
4028_0,4,972,1736,1941,2771,2629,2093,660
4030_0,0,436,338,120,49,28,16,374
4031_0,17,533,715,887,1335,2199,1875,442
4032_0,17,332,533,369,2638,1958,1126,323
4033_0,8,78,199,138,2069,505,208,45
4034_0,12,304,609,521,2220,2524,1535,218
4035_0,12,427,825,618,3281,2309,1239,370
4036_0,11,378,529,546,1719,2300,1411,311
4037_0,11,543,785,827,2026,3087,2232,460
4040_0,11,123,226,225,669,494,319,75
4041_0,17,546,756,764,2423,1851,1277,500
4043_0,0,209,154,79,45,28,23,230
4047_0,8,22,62,34,569,132,58,5
4048_0,0,367,320,116,34,19,11,332
4049_0,12,375,732,495,3487,2263,1132,329
4054_0,11,340,527,509,1830,1971,1137,275
4057_0,2,898,1045,1088,2045,2556,2183,757
4060_0,0,247,243,105,53,41,34,233
4064_0,0,662,844,863,340,24,12,560
4065_0,12,360,648,567,2083,2428,1566,288
4067_0,0,367,477,387,199,109,98,328
4070_0,12,439,785,673,2752,2552,1475,354
4071_0,17,343,622,567,2350,1954,1240,307
4072_0,3,561,836,749,2623,1814,1160,513
4073_0,2,268,576,598,2358,2052,1368,140
4074_0,17,726,994,1213,1653,2179,1854,588
4075_0,8,71,218,128,2171,685,265,38
4078_0,8,153,301,286,1474,1318,732,92
4081_0,8,63,152,97,1398,353,143,24
4082_0,12,395,680,779,2123,2627,1674,263
4084_0,11,459,735,857,1966,2850,1917,338
4090_0,0,515,623,355,58,21,7,437
4091_0,11,198,555,305,3417,1933,936,143
4092_0,3,394,580,728,1601,1182,904,265
4093_0,0,574,624,285,61,29,18,451
4094_0,12,461,802,827,2298,2024,1208,316
4095_0,9,158,322,196,3011,1204,503,107
4096_0,11,71,125,130,448,432,257,42
4097_0,11,157,262,324,1436,1084,628,87
4099_0,0,407,292,115,45,19,14,404
4100_0,11,254,528,625,1929,1759,1128,132
4102_0,3,447,711,706,1529,1815,1443,345
4103_0,11,151,342,407,1280,1296,749,53
4106_0,17,642,891,1019,2221,2719,1961,520
4109_0,3,394,602,587,1651,1234,860,361
4111_0,3,828,1040,1135,1775,1689,1400,665
4113_0,2,558,828,833,2187,1936,1510,484
4114_0,12,209,403,354,1833,1435,843,150
4117_0,0,533,689,510,78,16,14,401
4118_0,9,164,347,379,1340,1439,766,91
4120_0,0,461,554,312,53,17,13,385
4122_0,0,251,201,94,40,21,18,265
4126_0,11,481,826,906,2609,3302,2116,375
4128_0,12,340,723,596,3093,2903,1675,247
4133_0,17,348,549,723,1101,1384,1125,273
4137_0,4,2588,4106,4252,4492,3768,2440,2391
4140_0,17,263,497,438,2653,1688,1016,182
4143_0,12,258,466,445,1448,1132,690,188
4144_0,17,260,476,525,1589,1489,1078,182
4145_0,18,280,312,245,207,162,94,275
4146_0,17,618,901,936,2472,2389,1753,551
4148_0,0,498,571,265,46,16,6,425
4150_0,12,353,804,568,3887,2682,1466,281
4151_0,0,396,352,141,55,33,21,345
4153_0,9,65,136,85,1298,469,193,27
4154_0,0,603,822,812,235,30,25,499
4155_0,17,379,525,547,1729,1714,1195,278
4161_0,11,288,482,497,1989,2022,1269,209
4163_0,2,211,343,350,2016,1090,589,125
4165_0,19,282,394,403,1830,1614,911,265
4166_0,17,380,695,484,3387,2228,1167,352
4167_0,9,204,352,256,2240,1176,518,157
4168_0,9,148,270,186,2434,945,388,101
4169_0,17,223,487,349,2978,1561,806,169
4172_0,17,329,523,493,1924,1570,954,301
4173_0,3,536,812,876,1970,1732,1248,447
4177_0,17,190,365,283,2266,1206,582,157
4184_0,9,141,254,176,2311,939,390,101
4186_0,5,516,781,875,1397,1311,1066,354
4188_0,3,286,459,518,1540,1096,767,167
4191_0,5,1676,1989,2076,2075,1939,1706,1490
4194_0,12,273,511,370,2321,1725,982,240
4195_0,9,79,231,189,2307,1114,529,15
4196_0,17,307,461,445,1589,1604,982,248
4197_0,17,248,460,404,2472,1399,783,218
4201_0,4,722,1016,1091,2002,1832,1476,595
4203_0,11,325,551,418,1934,1674,992,288
4206_0,17,328,504,520,2044,1784,1101,274
4207_0,0,231,182,82,36,22,16,232
4208_0,12,314,524,470,2037,1594,983,283
4210_0,0,540,514,212,49,19,10,465
4211_0,0,536,653,412,70,20,5,444
4215_0,0,340,425,472,1395,1405,824,329
4216_0,17,269,353,421,735,1636,1409,235
4217_0,11,129,249,242,1150,1066,582,49
4218_0,5,1748,1679,1757,2142,2136,1785,1610
4219_0,11,247,380,426,1262,1484,993,179
4220_0,11,366,583,562,1560,2118,1430,304
4221_0,11,390,525,492,2853,2239,1240,327
4222_0,11,431,748,722,2378,3042,1954,343
4225_0,9,37,124,119,611,369,199,-7
4229_0,2,549,891,991,1576,1993,1453,398
4232_0,12,471,808,761,2464,3087,1985,381
4234_0,0,245,174,82,41,24,18,255
4237_0,9,129,310,288,1808,1317,695,71
4240_0,11,299,595,439,2855,2016,1073,240
4242_0,11,302,473,463,1688,1977,1201,222
4243_0,9,78,223,194,1945,1082,512,14
4244_0,11,404,687,510,3379,2268,1356,370
4245_0,17,871,1182,1400,2195,2861,2642,755
4246_0,8,224,341,242,1591,1008,556,203
4247_0,9,304,528,595,2066,2049,1276,221
4248_0,8,81,244,172,1774,640,305,47
4250_0,12,350,766,672,2962,3199,1876,242
4253_0,17,273,497,304,3217,1624,736,260
4254_0,17,337,496,668,1212,3216,3134,265
4255_0,9,141,306,252,2089,1160,551,92
4256_0,12,399,757,731,2861,3133,1844,285
4257_0,12,441,778,696,2703,2259,1275,366
4258_0,4,503,701,741,1722,1470,1077,414
4259_0,12,430,842,786,3068,2734,1546,308
4262_0,17,392,696,492,3338,1668,913,365
4264_0,17,560,694,810,1390,2471,1937,491
4266_0,9,97,110,83,339,217,120,89
4267_0,12,522,843,837,2316,2525,1523,417
4268_0,3,458,613,579,1324,947,774,408
4269_0,17,303,414,419,1239,1672,1123,269
4270_0,17,345,607,607,2503,2079,1367,280
4271_0,0,308,217,84,42,19,9,327
4275_0,0,536,716,561,120,38,23,441
4278_0,12,384,785,581,3366,2511,1358,309
4279_0,12,363,861,579,4540,2121,1147,290
4280_0,9,131,249,271,1019,1123,712,74
4282_0,12,464,805,761,2443,2776,1794,367
4283_0,11,278,437,522,1053,931,565,188
4284_0,17,359,506,600,1328,1800,1298,294
4288_0,17,302,486,471,1452,1382,879,242
4289_0,11,321,580,657,2015,2096,1442,238
4290_0,0,491,672,608,157,36,23,407
4294_0,0,455,605,419,83,27,13,349
4295_0,11,480,751,618,2845,2754,1621,429
4297_0,11,169,338,281,1803,1231,674,124
4302_0,16,374,568,754,1232,2662,2717,275
4303_0,0,673,848,794,216,20,10,584
4305_0,11,350,529,528,1414,1948,1349,281
4307_0,9,-9,105,100,880,511,260,-70
4308_0,11,267,366,342,1285,1233,753,231
4309_0,0,448,562,334,62,18,11,368
4310_0,17,514,639,778,1228,2010,1759,463
4312_0,11,423,723,653,2087,2308,1455,345
4314_0,8,149,228,150,1042,667,381,117
4315_0,8,56,115,61,1253,356,125,10
4320_0,17,518,830,929,2172,2297,1818,440
4321_0,9,97,207,199,831,585,332,62
4322_0,12,591,992,1211,2476,3241,2160,416
4323_0,17,227,371,238,2527,1018,447,213
4325_0,12,404,795,694,2818,2330,1331,320
4326_0,17,275,402,397,1869,1170,629,242
4327_0,8,134,267,177,2389,845,380,106
4329_0,2,297,423,362,1982,929,543,240
4330_0,2,561,931,751,3376,2071,1316,511
4331_0,9,243,392,401,1705,1683,1005,186
4332_0,0,371,283,108,40,17,11,392
4333_0,12,506,809,916,1809,2111,1323,335
4334_0,0,224,198,76,31,27,18,239
4336_0,17,296,491,323,3167,1688,774,293
4339_0,19,465,605,615,1554,1649,936,387
4340_0,12,366,540,627,1450,2271,1566,288
4343_0,0,231,312,146,103,93,66,177
4344_0,12,532,987,1214,2639,3665,2383,364
4345_0,11,360,674,580,2309,2346,1390,291
4348_0,0,461,627,489,93,32,19,369
4349_0,19,256,305,287,421,147,95,236
4351_0,3,275,427,436,1338,808,546,191
4352_0,2,320,537,407,2629,1506,787,289
4354_0,0,298,193,100,49,37,25,332
4358_0,11,221,407,496,1511,2113,1419,143
4361_0,11,288,486,559,1852,2141,1328,199
4362_0,8,155,164,98,678,351,148,159
4363_0,17,332,594,409,4054,1916,889,304
4364_0,16,187,400,257,3065,1220,503,165
4366_0,8,199,300,289,1903,948,536,160
4367_0,8,65,177,118,1834,476,187,37
4369_0,17,426,670,587,2814,1794,1210,362
4370_0,19,451,656,702,2361,2473,1441,379
4371_0,17,431,650,831,1283,1656,1450,348
4373_0,8,62,163,123,1380,491,210,32
4375_0,17,378,558,782,1373,2711,2610,290
4379_0,11,118,256,274,1180,1067,674,73
4380_0,0,347,408,289,99,31,21,312
4382_0,16,290,553,350,2860,1812,980,261
4384_0,9,189,300,278,1303,1085,634,128
4386_0,4,814,1399,1391,2147,1992,1309,468
4388_0,2,407,818,740,3285,3098,1889,351
4390_0,8,148,158,84,596,222,103,151
4391_0,12,393,549,689,1354,1948,1583,324
4398_0,17,396,446,496,791,1459,1413,377
4399_0,5,992,1368,1427,1770,1776,1551,858
4400_0,9,115,313,365,1294,1112,666,34
4401_0,11,215,280,292,978,977,617,203
4402_0,17,451,564,604,944,1267,1045,402
4403_0,8,96,194,128,1922,552,221,59
4404_0,12,743,1235,1296,3274,3473,2398,612
4405_0,11,273,379,388,1248,1331,969,218
4406_0,12,457,741,606,2390,2101,1265,404
4408_0,0,467,341,116,45,18,9,435
4409_0,11,206,324,295,1135,1090,642,157
4411_0,11,426,585,608,1980,2717,1747,361
4413_0,11,355,625,791,1869,2389,1709,259
4414_0,12,406,687,482,3102,1873,1009,358
4415_0,9,98,181,134,946,428,198,69
4416_0,9,201,317,256,1980,1240,641,133
4417_0,16,673,1017,1311,2690,2935,2302,573
4418_0,17,533,814,786,2189,2342,1541,474
4419_0,11,384,497,511,1728,1974,1228,331
4422_0,17,612,723,832,1453,2283,1996,552
4426_0,5,2201,2565,2788,3207,2161,1457,1804
4427_0,9,251,540,476,1854,1447,841,158
4428_0,12,545,937,1298,2499,3876,3300,367
4432_0,17,248,428,330,2079,1450,821,231
4435_0,3,340,543,473,2024,1323,808,278
4436_0,9,97,246,247,1612,949,529,34
4439_0,0,372,432,290,89,93,78,321
4442_0,8,118,234,162,2541,572,222,79
4444_0,17,181,369,302,2308,999,529,124
4449_0,12,379,480,464,1267,1548,1066,347
4450_0,12,253,462,579,2241,2127,1357,189
4452_0,11,292,499,551,1756,1858,1238,198
